event_id,store_id,zone,camera_id,timestamp,dwell_seconds,motion_flag,person_count,event_type,is_anomaly
CAM-7760,STORE-184,Electronics,CAM-EL1,2026-05-26 12:35:00,161,True,1,PASS,False
CAM-5140,STORE-184,Aisle 7,CAM-07A,2026-05-26 12:55:00,79,True,1,CLEAR,False
CAM-9992,STORE-184,Entrance,CAM-EN1,2026-05-26 12:57:00,148,True,2,CLEAR,False
CAM-2608,STORE-184,Aisle 2,CAM-02A,2026-05-26 13:06:00,80,False,2,BROWSE,False
CAM-2639,STORE-184,Aisle 3,CAM-03A,2026-05-26 13:14:00,102,True,1,BROWSE,False
CAM-6379,STORE-184,Pharmacy,CAM-PH1,2026-05-26 13:29:00,108,True,2,BROWSE,False
CAM-1079,STORE-184,Liquor,CAM-LQ1,2026-05-26 13:35:00,110,True,1,CLEAR,False
CAM-6889,STORE-184,Liquor,CAM-LQ1,2026-05-26 13:44:00,64,False,3,BROWSE,False
CAM-6004,STORE-184,Pharmacy,CAM-PH1,2026-05-26 13:56:00,154,True,1,CLEAR,False
CAM-5597,STORE-184,Entrance,CAM-EN1,2026-05-26 13:59:00,65,True,2,CLEAR,False
CAM-1305,STORE-184,Aisle 2,CAM-02A,2026-05-26 14:02:00,159,True,3,CLEAR,False
CAM-5269,STORE-184,Aisle 7,CAM-07A,2026-05-26 14:04:00,169,False,1,BROWSE,False
CAM-5767,STORE-184,Liquor,CAM-LQ1,2026-05-26 14:12:00,64,False,0,BROWSE,False
CAM-1173,STORE-184,Electronics,CAM-EL1,2026-05-26 14:29:00,91,True,1,BROWSE,False
CAM-3395,STORE-184,Aisle 3,CAM-03A,2026-05-26 14:35:00,153,False,0,PASS,False
CAM-2029,STORE-184,Pharmacy,CAM-PH1,2026-05-26 14:43:00,97,False,1,PASS,False
CAM-6918,STORE-184,Aisle 7,CAM-07A,2026-05-26 15:00:00,129,False,3,PASS,False
CAM-2691,STORE-184,Aisle 1,CAM-01A,2026-05-26 15:11:00,163,False,2,CLEAR,False
CAM-3848,STORE-184,Exit,CAM-EX1,2026-05-26 15:30:00,126,False,2,CLEAR,False
CAM-5121,STORE-184,Aisle 2,CAM-02A,2026-05-26 15:47:00,126,True,3,BROWSE,False
CAM-8898,STORE-184,Electronics,CAM-EL1,2026-05-26 16:03:00,31,True,3,PASS,False
CAM-9430,STORE-184,Aisle 7,CAM-07A,2026-05-26 16:06:00,101,True,1,PASS,False
CAM-2938,STORE-184,Aisle 3,CAM-03A,2026-05-26 16:18:00,88,False,2,CLEAR,False
